obsid,obi,date
62166,0,'Sep 14 2007  8:08PM'
62313,0,'Nov 21 2009  6:59AM'
62078,0,'May 11 2007  1:12PM'
1512,0,'Dec  4 2009  7:13PM'
229,0,'Sep 15 2007  8:25AM'
1078,0,'Dec 15 2009 11:24PM'
62271,0,'Nov 25 2009 11:58PM'
55662,0,'Feb  9 2011 12:03PM'
57330,0,'Feb  1 2009  6:41AM'
1490,0,'Nov 25 2009  5:07AM'
719,1,'Feb  5 2009  7:13AM'
62276,0,'Nov 27 2009  6:36PM'
1147,0,'Jan 12 2010  6:31PM'
1283,0,'Jan 12 2010  9:16AM'
1056,0,'Dec 14 2009  1:43AM'
56978,1,'Jul  9 2009  3:55PM'
114,0,'Jul 14 2007  1:13AM'
1151,0,'Jan 12 2010  6:32PM'
720,0,'May  8 2007  4:48AM'
62331,0,'Nov 20 2009  1:31PM'
62436,0,'Jan 12 2010  8:28PM'
1206,0,'Feb  1 2010  8:31PM'
1496,0,'Nov 25 2009  5:08AM'
320,1,'Nov 20 2009  5:21AM'
388,0,'Dec  2 2009 12:36AM'
1508,0,'Nov 26 2009 12:09AM'
406,0,'Sep 15 2007  5:12AM'
845,0,'Jul 14 2007  6:11AM'
61193,1,'Sep 16 2006  8:49AM'
1288,0,'Jan 12 2010  9:17AM'
58286,0,'Aug  9 2007  5:36AM'
438,0,'Nov  1 2007  4:47PM'
62551,1,'Dec 13 2009 11:51PM'
60317,0,'May 26 2006  8:14PM'
62172,0,'Sep 14 2007  7:45PM'
1230,0,'Dec 16 2009  2:49AM'
62107,0,'May 10 2007  5:58AM'
62186,0,'Jul 14 2007  3:18AM'
62171,0,'Sep 14 2007  7:42PM'
1350,0,'Nov 18 2009 10:03PM'
1241,0,'Jan 12 2010  1:35PM'
1412,0,'Nov 26 2009  1:54AM'
57132,0,'May  1 2009 11:10PM'
55669,0,'Feb  6 2011  8:27AM'
1123,0,'Jan 12 2010  1:37PM'
804,0,'Dec  2 2009 12:38AM'
59476,0,'Mar 23 2006 11:15AM'
62179,0,'Jul 14 2007 10:46AM'
55754,0,'Jan  5 2011 10:25PM'
56837,0,'Sep 11 2009  3:38AM'
1282,0,'Jan 12 2010  9:11AM'
56472,0,'Apr 19 2011  1:52PM'
690,0,'May 23 2007  6:51AM'
62154,0,'Sep 15 2007  5:22AM'
1073,0,'Dec 15 2009 11:19PM'
1232,0,'Dec 17 2009  3:42AM'
58497,0,'Mar 11 2007  5:49PM'
90,1,'May 11 2007  6:26PM'
62230,0,'Dec  9 2010  6:39PM'
56301,0,'Apr 24 2010  2:16AM'
57307,0,'Feb 11 2009  8:53PM'
129,0,'Nov 25 2009  2:44AM'
634,0,'Nov 29 2009  4:33PM'
62290,0,'Nov 25 2009  2:53AM'
57338,0,'Jan 29 2009  5:34PM'
1357,0,'Nov 18 2009 10:05PM'
62100,0,'May 11 2007 11:46AM'
501,1,'Nov 21 2009  4:09AM'
1143,0,'Jan 12 2010  6:27PM'
62218,0,'Dec  4 2009  8:54PM'
1516,0,'Jul 14 2007  1:42AM'
58282,0,'Aug  9 2007  5:37AM'
57302,0,'Feb 14 2009 12:20PM'
58079,0,'Dec 11 2007  4:15PM'
282,2,'Sep 14 2007  7:43PM'
64,0,'Nov 17 2009  3:30AM'
1479,0,'Nov 24 2009  5:24AM'
1336,0,'Sep 28 2010 12:24PM'
62141,0,'May  8 2007  2:55AM'
785,0,'Oct  9 2007  3:52PM'
345,1,'Nov 21 2009  3:50AM'
62185,0,'Jul 14 2007  5:55AM'
964,0,'May  8 2007  3:01AM'
517,0,'Feb 26 2008 12:39PM'
1443,0,'Nov 24 2009  5:14AM'
1438,0,'Nov 24 2009  7:10AM'
56138,0,'Jul  9 2010 10:56AM'
725,0,'Dec  2 2009  4:04AM'
55453,0,'May  7 2011 10:38AM'
62192,0,'Jul 14 2007  1:19AM'
839,0,'Nov 29 2009  2:37PM'
1396,0,'Nov 20 2009 10:52AM'
62164,0,'Nov  1 2007  4:50PM'
62072,0,'May 17 2007 10:49PM'
55342,0,'Jun 18 2011  2:11PM'
55981,0,'Oct 10 2010  1:41AM'
234,0,'Sep 15 2007  8:22AM'
55725,0,'Jan 18 2011  6:30AM'
226,0,'Sep 15 2007  8:18AM'
62213,0,'Dec  4 2009 11:05PM'
62138,0,'May  8 2007  3:04AM'
61913,0,'Jun  8 2007  3:57AM'
1368,0,'Nov 18 2009 10:08PM'
4458,1,'Feb 10 2009 11:55AM'
135,0,'Sep 14 2007  8:28PM'
57702,0,'Jul  9 2008 11:56AM'
95,0,'Sep 15 2007 12:51PM'
1401,0,'Nov 20 2009 10:56AM'
62352,0,'Nov 19 2009 12:00PM'
502,0,'Nov 17 2009  4:13AM'
613,0,'Nov 29 2009  2:34PM'
393,1,'Nov 21 2009  3:52AM'
150,0,'Nov  1 2007  4:49PM'
1352,0,'Nov 18 2009 10:03PM'
402,0,'May 11 2007 12:43PM'
495,0,'Nov 25 2009  8:38AM'
61292,0,'Sep  2 2006 12:47PM'
1447,0,'Nov 24 2009  7:13AM'
56132,0,'Jul  9 2010  1:22PM'
62817,0,'Dec 14 2006  7:50AM'
867,1,'May 11 2007  6:01PM'
896,0,'Jan 11 2008  9:52AM'
1276,0,'Dec 17 2009 12:32AM'
1433,0,'Nov 24 2009  5:14AM'
112,0,'Dec 15 2009 11:13PM'
55943,1,'Oct 23 2010 12:40PM'
63,0,'Nov 21 2009  6:07AM'
60936,0,'Oct 13 2006  9:50AM'
1116,0,'Jan 12 2010  1:35PM'
62306,0,'Nov 24 2009  5:29AM'
133,1,'Dec 17 2009  3:30AM'
1227,2,'Dec 17 2009 12:33AM'
62356,0,'Nov 19 2009  5:24AM'
62108,0,'May 10 2007  5:55AM'
969,0,'Nov 26 2009 12:12AM'
62272,0,'Nov 25 2009 11:58PM'
55963,0,'Oct 15 2010 11:53PM'
62190,0,'Jul 14 2007  1:24AM'
323,0,'Dec  5 2009  4:25AM'
389,0,'Nov 26 2009  1:25AM'
62280,0,'Nov 25 2009  4:54AM'
56319,1,'Apr 18 2010  6:29PM'
60519,0,'Jul  1 2006  5:18PM'
1197,1,'Feb  2 2010  5:23PM'
60652,0,'Jul 14 2006  1:23AM'
1335,0,'Sep 28 2010 12:20PM'
58841,0,'Aug  9 2006 12:05AM'
578,0,'Dec 17 2009  6:40AM'
1337,0,'Sep 28 2010  2:36AM'
829,0,'May 10 2007  5:27AM'
10920,0,'Jun 21 2009 12:46PM'
57704,0,'Feb  3 2009  4:57PM'
1416,0,'Nov 20 2009 12:57PM'
643,0,'Dec  5 2009  6:29AM'
56221,1,'Jun  2 2010 10:26PM'
515,2,'Nov 20 2009  5:39AM'
55607,1,'Mar  7 2011  9:29AM'
1193,0,'Jan 13 2010  1:07AM'
1365,0,'Nov 18 2009 10:07PM'
1402,0,'Nov 20 2009 12:37PM'
1215,0,'Jan 12 2010  1:32PM'
56974,1,'Jul  9 2009  5:21PM'
61199,1,'Sep 16 2006  8:45AM'
265,0,'Jun 12 2007  1:51AM'
56563,0,'Dec 27 2009 12:53AM'
47,2,'May 10 2007  5:54AM'
907,0,'May 11 2007 11:49AM'
1224,0,'Nov 21 2009  6:15AM'
55926,0,'Oct 28 2010 12:52PM'
58676,0,'Nov 26 2006  1:53PM'
851,1,'May 11 2007  5:57PM'
55504,0,'Apr 18 2011  6:24PM'
1456,2,'Oct 21 2000  2:41PM'
1233,1,'Nov 21 2009  4:09AM'
1338,0,'Sep 28 2010  2:36AM'
55472,0,'Apr 29 2011 10:26AM'
58598,0,'Jan  6 2007 11:06AM'
62140,0,'May  8 2007  3:02AM'
220,0,'Dec 16 2009  2:27AM'
55696,0,'Jan 23 2011 11:48PM'
55578,0,'Mar 20 2011 11:28AM'
1355,0,'Nov 18 2009 10:04PM'
750,0,'Nov 29 2009  2:49PM'
55902,0,'Nov  5 2010  1:51PM'
62853,0,'Aug 26 2006  2:13AM'
60763,1,'Aug  1 2006  1:57AM'
59323,0,'Apr  4 2006  4:59PM'
2493,1,'Feb  4 2009  3:06AM'
882,0,'Feb  5 2009  9:19AM'
119,0,'Nov 24 2009  7:46AM'
60177,0,'May 23 2006  6:32AM'
62505,0,'Nov 18 2009 10:11PM'
303,1,'Nov 19 2009 11:48AM'
62180,0,'Jul 14 2007 10:44AM'
55967,0,'Oct 15 2010 11:54PM'
56136,0,'Jul  9 2010 10:57AM'
62266,1,'Nov 26 2009  1:17AM'
442,0,'May 11 2007  1:28PM'
62333,0,'Nov 20 2009  1:32PM'
62212,0,'Dec  4 2009 11:38PM'
1410,0,'Nov 20 2009  8:00AM'
782,1,'May 23 2007 10:39AM'
1347,0,'Nov 18 2009 10:02PM'
228,0,'Sep 15 2007  8:24AM'
349,2,'May  8 2007  4:25AM'
1394,0,'Nov 20 2009 10:30AM'
62155,0,'Sep 15 2007  5:14AM'
62827,0,'Mar 23 2006  4:19PM'
1218,0,'Jan 12 2010  1:33PM'
55306,0,'Jul  4 2011  8:52AM'
62305,0,'Nov 24 2009  5:30AM'
62165,0,'Sep 14 2007  8:08PM'
56719,0,'Oct 28 2009  9:39PM'
1216,0,'Jan 12 2010  1:33PM'
1304,0,'Nov 17 2009  4:08AM'
58600,0,'Jan  6 2007 11:07AM'
4459,1,'Feb  4 2009  9:22PM'
55478,0,'Apr 26 2011  4:36PM'
1495,0,'Nov 25 2009  5:08AM'
58495,0,'Mar 11 2007  5:49PM'
806,1,'Dec  5 2009  1:57AM'
57071,0,'Jun  2 2009  8:59PM'
94,0,'Sep 28 2010  7:31AM'
62820,0,'Oct 13 2006  2:45PM'
809,0,'May 11 2007  1:05PM'
790,0,'Nov 29 2009  2:28PM'
59082,0,'Mar  5 2006  9:41PM'
62556,0,'Aug 17 1999 11:44PM'
773,0,'Sep 15 2007  7:48AM'
56976,1,'Jul  9 2009  5:21PM'
62069,0,'May 18 2007 12:27AM'
62397,0,'Jan 12 2010  9:14AM'
459,0,'Dec  2 2009  1:09AM'
934,0,'May 10 2007  6:08AM'
58682,0,'Nov 25 2006  6:20AM'
1250,1,'Dec 17 2009  3:32AM'
60428,0,'Jun  7 2006 11:02PM'
1242,0,'Jan 12 2010  8:18PM'
57242,0,'Mar 10 2009  3:26AM'
1198,0,'Dec  2 2009 12:48AM'
60517,0,'Jul  1 2006  5:19PM'
227,0,'Sep 15 2007  8:23AM'
1442,0,'Nov 24 2009  5:14AM'
